
우리나라기후평년값
[검색조건]
검색구분 : 일별평년값
, 지점명 : 전체
, 기간 : 1991~2020년 07월 28일~08월 26일
지점명,지점번호,일시,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
속초,90,07-28,      24.9,      28.2,      22.3,       7.8,      81.7,       5.0,,,    1004.7,    1006.8,       1.9
철원,95,07-28,      24.9,      29.1,      21.5,      14.1,      82.7,       4.5,,,     989.3,    1006.8,       1.9
동두천,98,07-28,      25.4,      29.7,      22.2,      17.1,      80.6,       4.3,,,     994.6,    1007.3,       1.6
파주,99,07-28,      25.4,      29.9,      22.2,      13.8,      85.3,       4.7,,,    1004.5,    1008.0,       1.4
대관령,100,07-28,      20.9,      24.5,      18.2,       7.8,      85.8,       4.9,,,     918.3,    1007.2,       3.6
춘천,101,07-28,      25.9,      30.2,      22.4,      13.1,      81.0,       4.8,,,     998.4,    1007.0,       1.1
백령도,102,07-28,      23.8,      26.7,      21.6,       5.0,      89.4,       3.9,       7.6,,     991.6,    1006.8,       3.9
강릉,105,07-28,      26.1,      29.5,      23.2,       6.0,      73.8,       5.2,,,    1004.1,    1007.2,       2.0
동해,106,07-28,      24.6,      28.1,      21.9,       4.6,      81.3,       5.5,,,    1002.9,    1007.1,       1.7
서울,108,07-28,      26.7,      30.2,      23.8,      15.0,      75.9,       4.2,       7.1,       3.7,     997.2,    1006.9,       2.2
인천,112,07-28,      25.8,      29.1,      23.3,      10.5,      83.8,       5.4,       6.9,       3.8,     998.9,    1006.7,       2.5
원주,114,07-28,      26.3,      30.9,      22.7,       9.4,      76.4,       4.6,,,     990.2,    1007.0,       0.9
울릉도,115,07-28,      24.4,      27.5,      22.2,       4.1,      82.8,       6.4,       6.3,       4.8,     982.6,    1007.7,       3.5
수원,119,07-28,      26.7,      30.5,      23.7,      12.3,      79.6,       4.7,       6.9,       4.2,    1003.1,    1007.2,       1.7
영월,121,07-28,      25.0,      30.3,      21.3,       7.2,      80.7,       5.0,,,     980.7,    1007.7,       1.1
충주,127,07-28,      26.1,      30.8,      22.2,       7.5,      75.7,       5.2,,,     996.2,    1007.2,       1.3
서산,129,07-28,      26.1,      30.0,      23.1,       7.7,      84.0,       5.4,,,    1004.2,    1007.1,       2.5
울진,130,07-28,      24.7,      28.6,      21.8,       4.8,      81.9,       6.3,,,    1001.6,    1007.2,       2.7
청주,131,07-28,      27.2,      31.5,      23.6,       7.2,      73.6,       5.5,       6.7,       4.6,    1000.6,    1007.1,       1.8
대전,133,07-28,      27.0,      31.1,      23.6,       6.7,      78.0,       5.9,       6.5,       4.5,     999.3,    1007.2,       1.9
추풍령,135,07-28,      25.3,      30.2,      21.5,       4.5,      78.8,       5.5,,,     979.9,    1007.3,       1.6
안동,136,07-28,      26.1,      31.0,      22.1,       4.5,      76.5,       6.1,       6.3,       4.8,     991.7,    1007.6,       1.4
상주,137,07-28,      26.2,      31.3,      22.4,       5.2,      78.6,       5.8,,,     997.3,    1008.3,       1.1
포항,138,07-28,      27.0,      30.8,      24.1,       4.9,      76.3,       6.6,       5.9,       5.3,    1007.4,    1007.8,       2.6
군산,140,07-28,      26.8,      30.6,      23.8,       5.0,      83.7,       6.1,,,    1004.1,    1007.2,       2.8
울산,152,07-28,      26.7,      30.8,      23.3,       6.6,      76.7,       6.1,       6.0,,    1002.9,    1007.6,       2.0
창원,155,07-28,      26.8,      30.8,      24.0,       7.8,      79.1,       6.1,       5.9,,    1004.9,    1007.4,       2.0
광주,156,07-28,      27.4,      31.9,      24.2,       5.3,      77.3,       5.8,       6.3,,     998.9,    1007.1,       2.3
부산,159,07-28,      26.1,      29.4,      23.8,       9.7,      80.8,       6.9,       5.8,       4.4,     999.8,    1007.7,       3.7
통영,162,07-28,      26.0,      29.5,      23.4,       7.6,      83.0,       6.3,,,    1004.4,    1008.0,       2.4
목포,165,07-28,      26.8,      30.4,      24.1,       3.1,      82.8,       7.1,       5.8,       4.9,    1002.5,    1007.3,       3.2
여수,168,07-28,      26.1,      29.1,      24.0,       6.0,      82.7,       6.7,       5.8,       5.2,    1000.0,    1007.6,       3.5
흑산도,169,07-28,      24.6,      27.9,      22.2,       2.7,      91.4,       5.3,       6.5,,     998.2,    1007.1,       4.4
완도,170,07-28,      26.4,      30.4,      23.4,       6.6,      83.3,       6.3,,,    1003.9,    1007.4,       2.8
고창,172,07-28,      27.3,      31.7,      24.0,       6.3,      84.1,       6.3,,,    1002.2,    1008.1,       2.6
제주,184,07-28,      27.5,      30.7,      25.0,       4.9,      77.4,       7.5,       5.3,       5.8,    1004.8,    1007.3,       2.6
고산,185,07-28,      26.6,      29.3,      24.4,       3.0,      86.9,       7.6,,,     998.9,    1007.0,       4.8
성산,188,07-28,      26.8,      30.2,      24.0,       6.5,      83.2,       6.9,,,    1005.5,    1007.6,       2.9
서귀포,189,07-28,      27.4,      30.2,      25.3,       5.3,      83.1,       6.5,       6.0,       4.8,    1001.5,    1007.3,       2.4
진주,192,07-28,      26.7,      31.4,      23.0,       6.4,      78.4,       6.1,,,    1004.6,    1007.5,       1.5
